"Strategy","Depth","Param","Value1","Value2","Value3","Value4","Value5"
"astr","1","hamm","1","2","3","1","0.0"
"astr","1","manh","1","2","3","1","0.0"
"bfs","1","drlu","1","2","3","1","0.0"
"bfs","1","drul","1","2","3","1","0.0"
"bfs","1","ludr","1","4","8","1","1.0"
"bfs","1","lurd","1","4","8","1","0.0"
"bfs","1","rdlu","1","2","3","1","0.0"
"bfs","1","rdul","1","2","3","1","0.0"
"bfs","1","uldr","1","4","8","1","0.0"
"bfs","1","ulrd","1","4","8","1","0.0"
"dfs","1","drlu","1","4","3","1","0.0"
"dfs","1","drul","1","4","3","1","0.0"
"dfs","1","ludr","1","153853","232088","20","395.126"
"dfs","1","lurd","11","133986","202493","20","344.791"
"dfs","1","rdlu","1","4","3","1","0.0"
"dfs","1","rdul","1","4","3","1","0.0"
"dfs","1","uldr","1","59701","90159","20","158.134"
"dfs","1","ulrd","1","212065","320414","20","559.173"
"astr","1","hamm","1","2","3","1","0.0"
"astr","1","manh","1","2","3","1","0.0"
"bfs","1","drlu","1","2","3","1","0.0"
"bfs","1","drul","1","2","3","1","0.0"
"bfs","1","ludr","1","4","8","1","0.0"
"bfs","1","lurd","1","4","8","1","0.0"
"bfs","1","rdlu","1","2","3","1","0.0"
"bfs","1","rdul","1","2","3","1","0.0"
"bfs","1","uldr","1","4","8","1","0.0"
"bfs","1","ulrd","1","4","8","1","1.0"
"dfs","1","drlu","1","4","3","1","0.0"
"dfs","1","drul","1","4","3","1","0.0"
"dfs","1","ludr","1","212065","320414","20","550.535"
"dfs","1","lurd","1","59701","90159","20","161.764"
"dfs","1","rdlu","1","4","3","1","0.0"
"dfs","1","rdul","1","4","3","1","0.0"
"dfs","1","uldr","11","133986","202493","20","355.377"
"dfs","1","ulrd","1","153853","232088","20","772.877"
"astr","2","hamm","2","3","5","2","0.0"
"astr","2","manh","2","3","5","2","0.0"
"bfs","2","drlu","2","5","9","2","0.0"
"bfs","2","drul","2","5","9","2","0.0"
"bfs","2","ludr","2","10","22","2","0.0"
"bfs","2","lurd","2","10","22","2","0.0"
"bfs","2","rdlu","2","5","9","2","1.003"
"bfs","2","rdul","2","5","9","2","0.841"
"bfs","2","uldr","2","10","22","2","0.0"
"bfs","2","ulrd","2","10","22","2","0.0"
"dfs","2","drlu","2","10","12","2","0.0"
"dfs","2","drul","2","10","12","2","1.002"
"dfs","2","ludr","-1","208703","315303","20","541.238"
"dfs","2","lurd","-1","152229","230146","20","387.564"
"dfs","2","rdlu","2","10","12","2","0.0"
"dfs","2","rdul","2","10","12","2","0.0"
